param_name,sp0_mean_TL,sp1_mean_TL,sp2_mean_TL,sp3_mean_TL,sp4_mean_TL,sp5_mean_TL,sp6_mean_TL,sp7_mean_TL,sp8_mean_TL,sp9_mean_TL,sp10_mean_TL,sp11_mean_TL,sp12_mean_TL,sp13_mean_TL,sp14_mean_TL,sp15_mean_TL
89,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0
90,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
91,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1
92,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
93,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
94,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0
95,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
96,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
97,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
98,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
99,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
100,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
101,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
102,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
103,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
104,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0
105,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
106,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
107,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
108,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
109,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
110,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
111,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
112,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
113,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
114,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
115,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
116,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
117,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
118,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
119,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
120,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0
121,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
122,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
123,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
124,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1
125,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0
126,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
127,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1
128,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1
129,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0
130,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0
131,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0
132,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0
133,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1
134,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
135,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
136,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
137,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
138,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0
139,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
140,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0
141,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
142,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0
143,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1
144,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
145,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
146,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
147,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
148,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
149,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
150,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1
151,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
152,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0
153,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
154,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
155,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
156,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
157,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0
158,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
159,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
160,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
161,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
162,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
163,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1
164,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0
165,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1
166,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
167,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0
168,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
169,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1
170,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
171,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1
172,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
173,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0
174,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
175,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0
176,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0
177,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
178,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
179,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0
180,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0
181,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0
182,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
183,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1
184,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
185,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
186,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
187,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
188,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
189,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
190,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
191,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1
192,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
193,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
194,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
195,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
